"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2021","2021-Q1","2021-M01","2021-M02","2021-M03","2021-Q2","2021-M04","2021-M05","2021-M06","2021-Q3","2021-M07","2021-M08","2021-M09","2021-Q4","2021-M10","2021-M11","2021-M12","2022","2022-Q1","2022-M01","2022-M02","2022-M03","2022-Q2","2022-M04","2022-M05","2022-M06","2022-Q3","2022-M07","2022-M08","2022-M09","2022-Q4","2022-M10","2022-M11","2022-M12","2023","2023-Q1","2023-M01","2023-M02","2023-M03","2023-Q2","2023-M04","2023-M05","2023-M06","2023-Q3","2023-M07","2023-M08","2023-M09","2023-Q4","2023-M10","2023-M11","2023-M12","2024","2024-Q1","2024-M01","2024-M02","2024-M03","2024-Q2","2024-M04","2024-M05","2024-M06","2024-Q3","2024-M07","2024-M08","2024-M09","2024-Q4","2024-M10","2024-M11","2024-M12","2025-Q1","2025-M01","2025-M02","2025-M03","2025-M04"
"IMF.STA:IMTS(1.0.0)","MDV.XG_FOB_USD.PAK.Q","OBS_VALUE","Maldives","Exports of goods, Free on board (FOB), US dollar","Pakistan","Quarterly","Millions","","","","","","","","","","","","","","","","","","","40000.0","","","","5750.0","","","","","","","","","","","","","232.0","","","","","","","","","","","","2097.0","","","","","4000.0","","","","","","","","20300.0","","","","","","","","1337.0","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.BTN.Q","OBS_VALUE","Maldives","Trade balance goods, US dollar","Bhutan","Quarterly","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-47.0","","","","","","","","","","","","","","","","","","","","","-484.0","","","",""
"IMF.STA:IMTS(1.0.0)","NPL.MG_CIF_USD.AFG.Q","OBS_VALUE","Nepal","Imports of goods, Cost insurance freight (CIF), US dollar","Afghanistan, Islamic Republic of","Quarterly","Millions","","14832.0","","","","14832.0","","","","14832.0","","","","14832.0","","","","","1788.0","","","","1788.0","","","","1788.0","","","","1788.0","","","","","1788.0","","","","1788.0","","","","1788.0","","","","1788.0","","","","","1788.0","","","","1788.0","","","","1788.0","","","","1788.0","","","","1788.0","","","",""
"IMF.STA:IMTS(1.0.0)","NPL.MG_CIF_USD.MDV.Q","OBS_VALUE","Nepal","Imports of goods, Cost insurance freight (CIF), US dollar","Maldives","Quarterly","Millions","","","","","","","","","","6898.0","","","","","","","","","2199.0","","","","2199.0","","","","2199.0","","","","2199.0","","","","","2199.0","","","","2199.0","","","","2199.0","","","","2199.0","","","","","2199.0","","","","2199.0","","","","2199.0","","","","2199.0","","","","2199.0","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.MG_CIF_USD.MMR.A","OBS_VALUE","Bhutan","Imports of goods, Cost insurance freight (CIF), US dollar","Myanmar","Annual","Millions","12.0","","","","","","","","","","","","","","","","","12.0","","","","","","","","","","","","","","","","","12.0","","","","","","","","","","","","","","","","","14.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.MG_CIF_USD.MMR.Q","OBS_VALUE","Bhutan","Imports of goods, Cost insurance freight (CIF), US dollar","Myanmar","Quarterly","Millions","","3.0","","","","3.0","","","","3.0","","","","3.0","","","","","3.0","","","","3.0","","","","3.0","","","","3.0","","","","","3.0","","","","3.0","","","","3.0","","","","3.0","","","","","3.0","","","","3.0","","","","3.0","","","","5.0","","","","3.0","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.TBG_USD.MMR.A","OBS_VALUE","Bhutan","Trade balance goods, US dollar","Myanmar","Annual","Millions","-12.0","","","","","","","","","","","","","","","","","-12.0","","","","","","","","","","","","","","","","","-12.0","","","","","","","","","","","","","","","","","-14.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.MG_CIF_USD.PAK.Q","OBS_VALUE","Bhutan","Imports of goods, Cost insurance freight (CIF), US dollar","Pakistan","Quarterly","Millions","","465.0","","","","465.0","","","","465.0","","","","1997.0","","","","","465.0","","","","3725.0","","","","465.0","","","","465.0","","","","","465.0","","","","465.0","","","","465.0","","","","465.0","","","","","465.0","","","","465.0","","","","465.0","","","","4937.0","","","","465.0","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.XG_FOB_USD.MDV.Q","OBS_VALUE","Bhutan","Exports of goods, Free on board (FOB), US dollar","Maldives","Quarterly","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.0","","","","","","","","","","","","","","","","","","","","","484.0","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.TBG_USD.MMR.Q","OBS_VALUE","Bhutan","Trade balance goods, US dollar","Myanmar","Quarterly","Millions","","-3.0","","","","-3.0","","","","-3.0","","","","-3.0","","","","","-3.0","","","","-3.0","","","","-3.0","","","","-3.0","","","","","-3.0","","","","-3.0","","","","-3.0","","","","-3.0","","","","","-3.0","","","","-3.0","","","","-3.0","","","","-5.0","","","","-3.0","","","",""
